wikidataId,name,reportingPeriodStart,reportingPeriodEnd,accuracyWithoutUndefined-proportion,accuracyWithoutUndefined-numbCorrect,accuracyWithoutUndefined-numbFields,precision,precision-numbHasActualValueAndIsExtracted,precision-numbExtractedValues,recall,recall-numbHasActualValueAndIsExtracted,recall-numbActualValues,magnError-proportion,magnError-numbErrors,magnError-numbFields,fieldSwapError-proportion,fieldSwapError-numbError,fieldSwapError-numbFields
Q10432209,Prisma Properties,2024-01-01,2024-12-31,0.5,1,2,1,2,2,1,2,2,0,0,2,0,0,2
Q30256485,FM Mattsson,2024-01-01,2024-12-31,0.2857142857142857,2,7,0.6,3,5,0.6,3,5,0,0,7,0,0,7
Q130367296,VEF,2024-01-01,2024-12-31,0.5,3,6,0.8,4,5,0.8,4,5,0,0,6,0,0,6
Q62233,SBAB,2024-01-01,2024-12-31,0.9090909090909091,10,11,1,11,11,1,11,11,0,0,11,0,0,11
Q134691475,Vestum,2024-01-01,2024-12-31,1,11,11,1,11,11,1,11,11,0,0,11,0,0,11
Q52825,ABB Ltd.,2024-01-01,2024-12-31,0.05555555555555555,1,18,1,3,3,0.16666666666666666,3,18,0,0,18,0,0,18
Q134580179,Cinclus Pharma,2024-01-01,2024-12-31,0,0,3,1,2,2,0.6666666666666666,2,3,0,0,3,0,0,3
Q10540600,John Mattson,2024-01-01,2024-12-31,0.3076923076923077,4,13,0.7777777777777778,7,9,0.6363636363636364,7,11,0,0,13,0,0,13
Q52601,SCA,2024-01-01,2024-12-31,1,11,11,1,11,11,1,11,11,0,0,11,0,0,11
Q134691493,Nivika,2024-09-01,2024-12-31,0.5454545454545454,6,11,0.8888888888888888,8,9,0.8,8,10,0,0,11,0,0,11
Q109787297,Mips,2024-01-01,2024-12-31,1,13,13,1,13,13,1,13,13,0,0,13,0,0,13
Q31884527,Pandox,2024-01-01,2024-12-31,0.8888888888888888,8,9,1,9,9,1,9,9,0,0,9,0,0,9
Q54075,SSAB,2024-01-01,2024-12-31,0.8666666666666667,13,15,0.9333333333333333,14,15,1,14,14,0,0,15,0,0,15

Q10443838,Catella,2024-01-01,2024-12-31,1,6,6,1,6,6,1,6,6,0,0,6,0,0,6

Q10425193,Balder,2024-01-01,2024-12-31,0.8888888888888888,16,18,0.9444444444444444,17,18,1,17,17,0.05555555555555555,1,18,0,0,18
Q4998333,Bure Equity,2024-01-01,2024-12-31,0.3333333333333333,3,9,0.875,7,8,0.875,7,8,0,0,9,0,0,9
Q1123823,Nordea Bank,2024-01-01,2024-12-31,0.9166666666666666,11,12,1,12,12,1,12,12,0,0,12,0,0,12
Q109815145,Green Landscaping Group,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q10513055,Heba,2024-01-01,2024-12-31,0.5384615384615384,7,13,0.8181818181818182,9,11,0.8181818181818182,9,11,0,0,13,0,0,13

Q10443590,Castellum,2024-01-01,2024-12-31,0.8,12,15,1,14,14,0.9333333333333333,14,15,0,0,15,0,0,15
Q10686298,Svevia,2024-01-01,2024-12-31,0.5,4,8,0.625,5,8,1,5,5,0,0,8,0,0,8
Q3121401,Loomis,2024-01-01,2024-12-31,0.9285714285714286,13,14,1,14,14,1,14,14,0,0,14,0,0,14
Q5362569,Thule Group,2024-01-01,2024-12-31,0.75,9,12,1,9,9,0.75,9,12,0,0,12,0,0,12
