wikidataId,name,reportingPeriodStart,reportingPeriodEnd,accuracyWithoutUndefined-proportion,accuracyWithoutUndefined-numbCorrect,accuracyWithoutUndefined-numbFields,precision,precision-numbHasActualValueAndIsExtracted,precision-numbExtractedValues,recall,recall-numbHasActualValueAndIsExtracted,recall-numbActualValues,magnError-proportion,magnError-numbErrors,magnError-numbFields,fieldSwapError-proportion,fieldSwapError-numbError,fieldSwapError-numbFields
Q4914620,BioGaia,2024-01-01,2024-12-31,0.8,12,15,1,14,14,0.9333333333333333,14,15,0,0,15,0,0,15
Q25387724,Bonava,2024-01-01,2024-12-31,1,6,6,1,6,6,1,6,6,0,0,6,0,0,6
Q27680773,Catena Media,2024-01-01,2024-12-31,0.25,2,8,0.25,2,8,1,2,2,0,0,8,0,0,8
Q5055199,Cavotec SA,2024-01-01,2024-12-31,0.5454545454545454,6,11,1,11,11,1,11,11,0,0,11,0,0,11
Q115167139,Cibus Nordic Real Estate,2024-01-01,2024-12-31,0.9230769230769231,12,13,0.9230769230769231,12,13,1,12,12,0,0,13,0,0,13

Q3437039,Cloetta,2024-01-01,2024-12-31,1,15,15,1,15,15,1,15,15,0,0,15,0,0,15

Q115167261,Coor Service Management Holding,2024-01-01,2024-12-31,0.8666666666666667,13,15,0.9333333333333333,14,15,1,14,14,0,0,15,0,0,15
Q115167084,CTEK,2024-01-01,2024-12-31,0.5,3,6,0.6666666666666666,4,6,1,4,4,0,0,6,0,0,6
Q28808759,CTT Systems,2024-01-01,2024-12-31,0.2857142857142857,2,7,0.5714285714285714,4,7,1,4,4,0,0,7,0,0,7
Q10477559,Duni,2024-01-01,2024-12-31,1,18,18,1,18,18,1,18,18,0,0,18,0,0,18

Q115167495,Eastnine,2024-01-01,2024-12-31,0.9,9,10,1,10,10,1,10,10,0,0,10,0,0,10
Q130367306,Viscaria,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2

Q106618377,K-Fast Holding,2024-01-01,2024-12-31,1,3,3,1,3,3,1,3,3,0,0,3,0,0,3
Q106625326,Brinova Fastigheter,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q106580668,Bufab,2024-01-01,2024-12-31,0.6666666666666666,4,6,0.8333333333333334,5,6,1,5,5,0,0,6,0,0,6
Q130366927,Emilshus,2024-01-01,2024-12-31,1,5,5,1,5,5,1,5,5,0,0,5,0,0,5
Q1341066,Enea,2024-01-01,2024-12-31,0.8333333333333334,5,6,1,6,6,1,6,6,0,0,6,0,0,6
Q10484125,Engcon,2024-01-01,2024-12-31,1,12,12,1,12,12,1,12,12,0,0,12,0,0,12
Q10492869,Ework Group,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q101416961,Fasadgruppen,2024-01-01,2024-12-31,0.42857142857142855,3,7,0.5714285714285714,4,7,1,4,4,0,0,7,0,0,7
Q130366931,Flerie,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q56300749,HANZA,2024-01-01,2024-12-31,1,15,15,1,15,15,1,15,15,0,0,15,0,0,15
Q106640661,Hexatronic Group,2024-01-01,2024-12-31,1,16,16,1,16,16,1,16,16,0,0,16,0,0,16
Q91016795,Humana,2024-01-01,2024-12-31,1,13,13,1,13,13,1,13,13,0,0,13,0,0,13
Q1059840,I.A.R Systems Group,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q130367235,INVISIO,2024-01-01,2024-12-31,0.6666666666666666,6,9,1,6,6,0.6666666666666666,6,9,0,0,9,0,0,9
Q10536452,Inwido,2024-01-01,2024-12-31,0.5,1,2,1,2,2,1,2,2,0,0,2,0,0,2
Q106626770,ITAB Shop Concept,2024-01-01,2024-12-31,1,6,6,1,6,6,1,6,6,0,0,6,0,0,6
Q28836462,Xvivo Perfusion,2024-01-01,2024-12-31,0.2857142857142857,2,7,0.5714285714285714,4,7,1,4,4,0,0,7,0,0,7
Q1537901,Lundin Mining Corp.,2024-01-01,2024-12-31,0.8333333333333334,5,6,0.8333333333333334,5,6,1,5,5,0,0,6,0,0,6
Q109780665,Lime Technologies AB (publ),2024-01-01,2024-12-31,0.3333333333333333,2,6,1,2,2,0.3333333333333333,2,6,0,0,6,0,0,6
Q106625885,Genova Property Group,2024-01-01,2024-12-31,0.9285714285714286,13,14,1,13,13,0.9285714285714286,13,14,0,0,14,0,0,14
Q115167405,KABE Group,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q30086040,Karnov Group,2024-01-01,2024-12-31,0.3333333333333333,3,9,0.4444444444444444,4,9,1,4,4,0,0,9,0,0,9
Q10546722,Knowit,2024-01-01,2024-12-31,0.2,2,10,0.4,4,10,1,4,4,0,0,10,0,0,10
Q115167469,Logistea,2024-01-01,2024-12-31,1,5,5,1,5,5,1,5,5,0,0,5,0,0,5
Q115168499,Mangold,2024-01-01,2024-12-31,0.375,3,8,0.5714285714285714,4,7,0.8,4,5,0,0,8,0,0,8

Q106574109,Scandi Standard,2024-01-01,2024-12-31,0.8235294117647058,14,17,1,17,17,1,17,17,0,0,17,0,0,17
Q61932343,Sdiptech,2024-01-01,2024-12-31,0.2857142857142857,2,7,0.5,3,6,0.75,3,4,0,0,7,0,0,7
Q38168829,Sedana Medical,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2

Q106282881,Stillfront Group,2024-01-01,2024-12-31,1,14,14,1,14,14,1,14,14,0,0,14,0,0,14
Q12004589,Synsam,2024-01-01,2024-12-31,1,6,6,1,6,6,1,6,6,0,0,6,0,0,6
Q106594863,Traction,2024-01-01,2024-12-31,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
Q4836728,BTS Group,2024-01-01,2024-12-31,0.4,4,10,0.5,4,8,0.6666666666666666,4,6,0,0,10,0,0,10
Q4345789,Fagerhult Group,2024-01-01,2024-12-31,1,16,16,1,16,16,1,16,16,0,0,16,0,0,16
Q10501780,G5 Entertainment,2024-01-01,2024-12-31,0.5,1,2,1,2,2,1,2,2,0,0,2,0,0,2
Q115167534,KlaraBo,2024-01-01,2024-12-31,1,12,12,1,12,12,1,12,12,0,0,12,0,0,12
Q124252447,Linc,2024-01-01,2024-12-31,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
Q49095689,MedCap,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q130367254,MEKO,2024-01-01,2024-12-31,1,17,17,1,17,17,1,17,17,0,0,17,0,0,17
Q114221082,MilDef Group,2024-01-01,2024-12-31,0.6666666666666666,2,3,1,2,2,0.6666666666666666,2,3,0,0,3,0,0,3
Q106594396,Trianon,2024-01-01,2024-12-31,1,8,8,1,8,8,1,8,8,0,0,8,0,0,8
Q55391931,Viaplay Group,2024-01-01,2024-12-31,0.2,3,15,1,15,15,1,15,15,0,0,15,0,0,15
Q627577,VNV Global,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q78584553,Volati,2024-01-01,2024-12-31,0.5,3,6,1,6,6,1,6,6,0,0,6,0,0,6
Q49103488,Norion Bank,2024-01-01,2024-12-31,1,6,6,1,6,6,1,6,6,0,0,6,0,0,6
Q10603350,Note,2024-01-01,2024-12-31,0.6,3,5,0.75,3,4,0.75,3,4,0,0,5,0,0,5
Q267558,OEM International,2024-01-01,2024-12-31,0.42857142857142855,3,7,0.6666666666666666,4,6,0.8,4,5,0,0,7,0,0,7
Q6060751,Öresund,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q30292201,PowerCell Sweden,2024-01-01,2024-12-31,0.8125,13,16,0.9333333333333333,14,15,0.9333333333333333,14,15,0,0,16,0,0,16
Q10638710,Pricer,2024-01-01,2024-12-31,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
Q43895238,Probi,2024-01-01,2024-12-31,0.125,1,8,1,2,2,0.25,2,8,0,0,8,0,0,8
Q23044729,Profoto Holding,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q4356015,Rejlers,2024-01-01,2024-12-31,0.9166666666666666,11,12,1,11,11,0.9166666666666666,11,12,0,0,12,0,0,12
Q110086919,Garo,2024-01-01,2024-12-31,0.6666666666666666,2,3,1,2,2,0.6666666666666666,2,3,0,0,3,0,0,3
Q6696047,Lucara Diamond Corp,2024-01-01,2024-12-31,0.4,2,5,0.6,3,5,1,3,3,0,0,5,0,0,5
Q106508167,Momentum Group,2024-01-01,2024-12-31,0.6666666666666666,2,3,1,2,2,0.6666666666666666,2,3,0,0,3,0,0,3
Q20164918,Platzer Fastigheter,2024-01-01,2024-12-31,0.6666666666666666,6,9,0.7777777777777778,7,9,1,7,7,0,0,9,0,0,9
Q11888870,Proact IT Group,2024-01-01,2024-12-31,0.2857142857142857,4,14,0.9230769230769231,12,13,0.9230769230769231,12,13,0.35714285714285715,5,14,0,0,14
Q129391,Scandic Hotels Group,2024-01-01,2024-12-31,0.25,2,8,0.8571428571428571,6,7,0.8571428571428571,6,7,0,0,8,0,0,8
Q115167277,Stendörren Fastigheter,2024-01-01,2024-12-31,0.4375,7,16,0.8333333333333334,10,12,0.7142857142857143,10,14,0,0,16,0,0,16

Q115167486,Tethys Oil,2024-01-01,2024-12-31,0.6666666666666666,8,12,0.75,9,12,1,9,9,0,0,12,0,0,12
Q1571428,Swedavia,2024-01-01,2024-12-31,0.5,2,4,0.75,3,4,1,3,3,0,0,4,0,0,4
Q28228137,Traton,2024-01-01,2024-12-31,0.9444444444444444,17,18,1,18,18,1,18,18,0,0,18,0,0,18
Q18370893,SOS Alarm,2024-01-01,2024-12-31,1,8,8,1,8,8,1,8,8,0,0,8,0,0,8
Q10684798,Svensk Exportkredit,2024-01-01,2024-12-31,0.3333333333333333,2,6,1,2,2,0.3333333333333333,2,6,0,0,6,0,0,6
Q7476318,Teracom,2024-01-01,2024-12-31,0.3333333333333333,4,12,0.9,9,10,0.8181818181818182,9,11,0,0,12,0,0,12
Q662664,Arion Bank,2024-01-01,2024-12-31,0.3333333333333333,4,12,0.8888888888888888,8,9,0.7272727272727273,8,11,0,0,12,0,0,12
Q11977084,Industrivärden,2024-01-01,2024-12-31,0.6666666666666666,4,6,0.8333333333333334,5,6,1,5,5,0,0,6,0,0,6
Q115167515,Norva24,2024-01-01,2024-12-31,0.3333333333333333,2,6,0.8333333333333334,5,6,1,5,5,0,0,6,0,0,6
Q276345,Millicom Int. Cellular,2024-01-01,2024-12-31,0.8235294117647058,14,17,0.9375,15,16,0.9375,15,16,0,0,17,0,0,17
Q7315107,RISE,2024-01-01,2024-12-31,0.38461538461538464,5,13,0.8571428571428571,6,7,0.5,6,12,0,0,13,0,0,13
Q10674550,Specialfastigheter,2024-01-01,2024-12-31,1,6,6,1,6,6,1,6,6,0,0,6,0,0,6
Q10397786,AAK,2024-01-01,2024-12-31,0.42857142857142855,3,7,0.5714285714285714,4,7,1,4,4,0,0,7,0,0,7
Q671398,Arjo,2024-01-01,2024-12-31,0.7777777777777778,7,9,1,9,9,1,9,9,0,0,9,0,0,9
Q106626934,Instalco,2024-01-01,2024-12-31,0.6666666666666666,4,6,1,6,6,1,6,6,0,0,6,0,0,6
Q10720019,Wihlborgs Fastigheter,2024-01-01,2024-12-31,1,12,12,1,12,12,1,12,12,0,0,12,0,0,12
Q30289762,BioInvent International,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q17102820,Hoist Finance,2024-01-01,2024-12-31,0.2,1,5,1,1,1,0.2,1,5,0,0,5,0,0,5
Q109790098,Nederman,2024-01-01,2024-12-31,0.5,1,2,1,2,2,1,2,2,0,0,2,0,0,2

Q98602838,Addnode Group,2024-01-01,2024-12-31,1,12,12,1,12,12,1,12,12,0,0,12,0,0,12
Q3429427,AFRY,2024-01-01,2024-12-31,0.7777777777777778,7,9,0.8888888888888888,8,9,1,8,8,0,0,9,0,0,9
Q738421,Assa Abloy,2024-01-01,2024-12-31,0.3333333333333333,5,15,1,6,6,0.4,6,15,0,0,15,0,0,15
Q10461247,Creades,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2

Q18287127,Bactiguard Holding B,2024-01-01,2024-12-31,0.8235294117647058,14,17,0.8823529411764706,15,17,1,15,15,0,0,17,0,0,17
Q10494668,Fenix Outdoor Int.,2024-01-01,2024-12-31,0.07692307692307693,1,13,0.8333333333333334,5,6,0.4166666666666667,5,12,0,0,13,0,0,13
Q975655,SEB,2024-01-01,2024-12-31,0.3333333333333333,2,6,0.3333333333333333,2,6,1,2,2,0,0,6,0,0,6
Q130366922,CoinShares International Limited,2024-01-01,2024-12-31,0.3333333333333333,1,3,0.5,1,2,0.5,1,2,0,0,3,0,0,3
Q5318875,Dynavox Group,2024-01-01,2024-12-31,0.8461538461538461,11,13,0.9230769230769231,12,13,1,12,12,0,0,13,0,0,13
Q1657823,Nobia,2024-01-01,2024-12-31,0.625,5,8,0.75,6,8,1,6,6,0,0,8,0,0,8
Q115167526,Nordic Waterproofing Holding,2024-01-01,2024-12-31,0.8571428571428571,12,14,1,14,14,1,14,14,0,0,14,0,0,14
Q10397672,Almi,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q115112945,Alleima,2024-01-01,2024-12-31,1,16,16,1,16,16,1,16,16,0,0,16,0,0,16
Q111843935,Better Collective,2024-01-01,2024-12-31,1,12,12,1,12,12,1,12,12,0,0,12,0,0,12
Q891345,Boliden,2024-01-01,2024-12-31,1,17,17,1,17,17,1,17,17,0,0,17,0,0,17

Q10429829,Biotage,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q109780258,TF Bank,2024-01-01,2024-12-31,NaN,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,0,0
Q47498532,Epiroc,2024-01-01,2024-12-31,0.4444444444444444,4,9,1,9,9,1,9,9,0.4444444444444444,4,9,0,0,9
Q1275733,EQT,2024-01-01,2024-12-31,0.75,6,8,0.8571428571428571,6,7,0.8571428571428571,6,7,0,0,8,0,0,8
Q10651354,Resurs Holding,2024-01-01,2024-12-31,0.8333333333333334,10,12,1,12,12,1,12,12,0,0,12,0,0,12

Q28449044,RaySearch Laboratories,2024-01-01,2024-12-31,1,9,9,1,9,9,1,9,9,0,0,9,0,0,9
Q10599821,Net Insight,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q215293,Volvo Cars,2024-01-01,2024-12-31,0.6,9,15,1,14,14,0.9333333333333333,14,15,0.06666666666666667,1,15,0,0,15
Q24882789,BICO Group,2024-01-01,2024-12-31,0.4444444444444444,4,9,0.4444444444444444,4,9,1,4,4,0,0,9,0,0,9
Q51581693,Gaming Innovation Group,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q10719187,Wallenstam,2024-01-01,2024-12-31,0.5,5,10,0.8888888888888888,8,9,0.8888888888888888,8,9,0,0,10,0,0,10
Q1337240,Getinge,2024-01-01,2024-12-31,0.8888888888888888,8,9,0.8888888888888888,8,9,1,8,8,0,0,9,0,0,9
Q10600264,New Wave Group,2024-01-01,2024-12-31,0.5,5,10,0.8888888888888888,8,9,0.8888888888888888,8,9,0,0,10,0,0,10
Q52912,SJ,2024-01-01,2024-12-31,0.42857142857142855,6,14,1,12,12,0.8571428571428571,12,14,0,0,14,0,0,14
Q16427839,BONESUPPORT,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q65196792,Boozt,2024-01-01,2024-12-31,1,16,16,1,16,16,1,16,16,0,0,16,0,0,16
Q1324884,Elanders,2024-01-01,2024-12-31,1,11,11,1,11,11,1,11,11,0,0,11,0,0,11
Q130366928,Ependion,2024-01-01,2024-12-31,0.9411764705882353,16,17,1,17,17,1,17,17,0,0,17,0,0,17
Q3177392,Jernhusen,2024-01-01,2024-12-31,0.9285714285714286,13,14,0.9285714285714286,13,14,1,13,13,0,0,14,0,0,14
Q7050718,Nordic Paper,2024-01-01,2024-12-31,0.6666666666666666,8,12,0.8181818181818182,9,11,0.9,9,10,0,0,12,0,0,12
Q106564093,BioArctic,2024-01-01,2024-12-31,0.9333333333333333,14,15,1,15,15,1,15,15,0,0,15,0,0,15
Q10590357,Munters Group,2024-01-01,2024-12-31,0.5454545454545454,6,11,1,6,6,0.5454545454545454,6,11,0,0,11,0,0,11
Q10523797,Hexpol,2024-01-01,2024-12-31,0.8571428571428571,6,7,0.8571428571428571,6,7,1,6,6,0,0,7,0,0,7
