companyName,wiki_id,url,Turnover,turnover_currency,no_employees,23_scope1,23_scope2MB,23_scope2LB,23_scope3,23_total,23_scope1_2Sum,23_scope3Sum,23_totalSum,23_scope3_1,23_scope3_2,23_scope3_3,23_scope3_4,23_scope3_5,23_scope3_6,23_scope3_7,23_scope3_8,23_scope3_9,23_scope3_10,23_scope3_11,23_scope3_12,23_scope3_13,23_scope3_14,23_scope3_15,23_scope3_16,23_biogenic
Samhall,Q10660896,https://samhall.se/wp-content/uploads/2024/03/Samhall_Arsredovisning_2023.pdf,,,23818,"1,281","2,975","1,534",88831,93087,4256,88831,93087,47870,2952,1104,333,25,809,20080,,,,,,,,15659,,
Sampo,,https://www.sampo.com/globalassets/year2023/group/sampo2023_sustainability_report.pdf,,,13450,"1,060","3,585",,18766.3,23411.3,4645.1,18766.3,23411.4,1652.1,2246.9,1296,52.3,231.6,6306.4,6842.4,,,,,,138.6,,,,
Sandvik,Q1753718,https://mb.cision.com/Main/208/3943609/2664675.pdf,126503000000,SEK,40877,"78,000","63,000","181,000",,,141000,,141000,,,,,,,,,,,,,,,,,9000
SAS,Q187854,https://mb.cision.com/Main/290/3923241/2586471.pdf,42043000000,SEK,7959,"3,093,000","5,100",,,,3098100,,3098100,,,,,,,,,,,,,,,,,17780
SBAB,Q62233,https://www.sbab.se/download/18.476dd96218dc44a3ffe1c70/1710767496681/SBAB%20%C3%85R%202023_SVE.pdf,5367000000,SEK,910,0,31,,59462.8,59494,31.2,59462.8,59494,367.2,,,,0.1,95.5,,22.3,,,,,,,,0.5,
SBB,,https://corporate.sbbnorden.se/sv/wp-content/uploads/sites/3/2020/04/sbb-hallbarhetsrapport-2023.pdf,6667000000,SEK,303,988,"9,468","17,381",31719,,10456,31719,42175,,14213,1292,1983,942,43.02,,10,,,,,12500,,,738,80
SCA,Q52601,https://www.sca.com/siteassets/media/press-releases-and-reports/documents/2024/20240229-sca-publicerar-arsredovisning-for-2023-sv-0-4762608.pdf,18081000000,SEK,3413,"258,000","60,000","33,000",521000,843000,318000,521000,839000,152000,,48000,319,3,,,,,,,,,,,,
SEB,Q975655,https://sebgroup.com/siteassets/cision/documents/2024/20240227-seb-publicerar-ars-och-hallbarhetsredovisning-2023-sv-1-3410354-4760762.pdf,80193000000,SEK,17851,796,777,"5,375",,,1573,30111678,30113251,678,,620,,20,8904,,,,,,,,,28400000,,
Sectra,Q2264039,https://sectraprodstorage01.blob.core.windows.net/investor-uploads/sites/2/2023/07/sectra-ar2223-eng-interaktiv.pdf,2351000000,SEK,1015,,,,,,391,135,526,,,,,,,,,,,,,,,,,
Securitas,Q662174,https://www.securitas.se/globalassets/sweden/pdf/securitas_ars_och_hallbarhetsredovisning_2023_24.pdf,157249000000,SEK,279479,"126,606","21,300",,1768814,1916720,147906,1768814,1916720,,,,,,,,,,,,,,,,,
Sinch,Q22077794,https://investors.sinch.com/static-files/d0badccf-6fa7-4eac-a3c8-2887257d5817,28745000000,SEK,4231,540,"7,462","7,688",134124,,8001,134124,142125,,,,,,,,,,,,,,,,,
SJ,Q8301325,https://www.sj.se/content/dam/externt/dokument/finansiell-info/sjab-ars-och-hallbarhetsredovisning-2023.pdf,10549000000,SEK,4336,,,,,,,,,,,,,,,,,,,,,,,,,
Skanska,Q1537811,https://mb.cision.com/Main/95/3941596/2651322.pdf,167168000000,SEK,27256,"146,000","16,000","35,000",1014000,,162000,1014000,1176000,,,,,,,,,,,,,,,,,49000
SKF,Q52846,https://investors.skf.com/sites/skf-ir/files/library/H%C3%A5llbarhetsrapport%202023.pdf,103881000000,SEK,39514,"49,716","204,024","447,320",,,253740,1788833,2042573,1614721,,,163726,,10386,,,,,,,,,,,
Södra Skogsägarna,Q1142582,https://www.sodra.com/_download/sp/ars-_och_hallbarhetsredovisning_2023.pdf,28896000000,SEK,3402,"92,000","2,700","1,000",2245000,,94700,2245000,2339700,251000,70000,22000,344000,200,1200,11000,,,1500000,38000,7500,,,400,,6502000
SSAB,Q54075,https://mb.cision.com/Public/980/3947344/99d2b4a9f24f12eb.pdf,119489000000,SEK,14565,"9,915,000","1,157,000",,,,11072000,11352000,22424000,,,,,,,,,,,,,,,,,
Stora Enso,Q747265,https://www.storaenso.com/-/media/documents/download-center/documents/annual-reports/2023/storaenso_annual_report_2023.pdf,9396000000,EUR,20822,"1,470,000","50,000","510,000",4950000,6470000,1520000,4950000,6470000,1680000,,310000,680000,,,,,,1950000,,,,,,330000,
Storskogen Group,Q115167531,https://www.storskogen.com/files/Main/20705/3956347/storskogen-annual-and-sustainability-report-2023.pdf,36006000000,SEK,12077,"36,100","7,738",,,,43838,,43838,,,,,,,,,,,,,,,,,
Sveaskog,Q1389894,https://www.sveaskog.se/globalassets/trycksaker/finansiella-rapporter/ars-och-hallbarhetsredovisning-2023-.pdf,7863000000,SEK,804,"9,300",940,,249900,260175,10240,249900,260140,,,,,,,,,,,,,,,,,
Svenska spel,Q3924567,https://om.svenskaspel.se/wp-content/uploads/2024/03/svenska-spels-ars-och-hallbarhetsredovisning-2023.pdf,8029000000,SEK,1417,308,218,"2,571",15888,16414,526,15888,16414,13322,792,84,35,5,662,179,13,,,,3,791,,,,
Svevia,Q10686298,https://www.svevia.se/download/18.26475eba18f775e6dd0334a2/1716282290824/Svevia_ars_och_hallbarhetsredovisning_2023.pdf,11194000000,SEK,2393,"22,741","3,315",800,5022,31078,26056,5022,31078,,,,,,,,,,,,,,,,,
Sweco,Q3377840,https://www.swecogroup.com/wp-content/uploads/sites/2/2024/03/2701489.pdf,28523000000,SEK,20157,"8,707","6,426","5,393",51317,6449,15133,51317,66450,26821,3971,3109,,774,8008,8634,,,,,,,,,,
Swedavia,Q1571428,https://www.swedavia.se/globalassets/ahr/2024/swedavia-ars--och-hallbarhetsrapport-2023.pdf,5931000000,SEK,2603,,,,,,,,,,,,,,,,,,,,,,,,,
Swedbank,Q1145493,https://internetbank.swedbank.se/ConditionsEarchive/download?bankid=1111&id=WEBDOC-PRODE175406128,73057000000,SEK,18806,692,"3,678",,15407,19777,4370,7524052,7528422,,,,,,,,,,,,,,,7508645,,
Swedish Orphan Biovitrum,Q7654795,https://www.sobi.com/sites/default/files/pr/202403273912-1.pdf,22123000000,SEK,1831,904,648,,124565,,1551,124565,126116,103001,2595,193,7970,11,9895,871,,,,,29,,,,,
Systemair,Q2084093,https://group.systemair.com/files/Main/22134/3814814/01s_sysair_ar22-23sve.pdf,12057900000,SEK,6587,"8,181","9,620","8,385",1401706,,17801,1401706,1419507,470375,20952,3969,17250,1553,4331,6077,,,,858706,,,,,18493,
Systembolaget,Q1476113,https://www.omsystembolaget.se/globalassets/pdf/ansvarsredovisning/ansvarsredovisning-2023.pdf,38174000000,SEK,5626,159,"2,602","1,925",,180631,2761,177870,180631,,,,11369,85,667,,509,,,,,,,,165240,
Tele2,Q309865,https://www.tele2.com/files/Main/3372/3954298/annual-and-sustainability-report-2023.pdf,29099000000,SEK,4485,"1,347",167,"47,786",273217,274731,1514,273217,274731,164782,78621,2973,2063,17,1307,2734,,,,20672,48,,,,,
Telia Company,Q862303,https://www.teliacompany.com/assets/u5c1v3pt22v8/sdSKIw4u0YrvJ6N6vxNQ7/be433e3cafff2977019af4ee67908e72/telia-company-ars-och-hallbarhetsredovisning-2023.pdf,88785000000,SEK,18963,"5,438","3,189","90,626",,,8627,,8627,,,,,,,,,,,,,,,,,
Thule Group,Q5362569,https://www.thulegroup.com/sites/thulegroup/files/pr/20240405-1b0268b5-627a-42f2-94e5-b26d485a5ed5-1.pdf,9132000000,SEK,2557,"3,173",215,,169931,173319,3388,169931,173319,,,,,,,,,,,,,,,,,
Tietoevry,Q1423707,https://ar2023.tietoevry.com/siteassets/tietoevry_sustainability_report-2023.pdf,2851400000,EUR,23283,195,"1,406","7,877",205417,207018,1601,205417,207018,189227,,3131,,97,4639,4380,59,,,3884,,,,,,
Traton,,https://annualreport.traton.com/2023/assets/downloads/traton-annual-report-2023.pdf,46872000000,EUR,105674,,,,,,,,,,,,,,,,,,,,,,,,,
Trelleborg,Q1703203,https://www.trelleborg.com/-/media/group/about-us/agm/2024/en/annual-report-2023.pdf,34286000000,SEK,15646,"37,235","54,070",,,,37235,,37235,,,,,,,,,,,,,,,,,
Troax Group,Q56300993,https://www.troaxgroup.org/media/2023/TROAX_Sustanability_Report_2023_en_240403a_web-A.pdf,264300000,EUR,1141,"1,591","3,278",,,,4869,94409,99278,92069,,,1695,,,,,,,,,,,,645,
Truecaller,Q15918054,https://mb.cision.com/Main/20429/3969154/2764375.pdf,1729000000,SEK,422,0,,"2,518",,4113,2518,1594,4112,,,1359,,130,105,,,,,,,,,,,
Vattenfall,Q157675,https://group.vattenfall.com/globalassets/corporate/who-we-are/sustainability/vattenfall-annual-and-sustainability-report-2023.pdf,290168000000,SEK,20995,"7,920,000","70,000",,15000000,23000000,7990000,15000000,22990000,1200000,,4600000,,100000,11000,,,,,9000000,,,,,,
Vitec Software Group,Q108733347,https://storage.mfn.se/f896ca92-2940-4c02-b700-fad5640c714c/vitec-software-group-arsredovisning-2023.pdf,2778000000,SEK,1415,199,,,,1259.7,338.6,921.1,1259.7,144.9,315,,,13.2,448,,,,,,,,,,,
Vitrolife,Q28836696,https://airtools-vitrolife.prod-mid-euw3.investis.com/sites/airtools-vitrolife/files/pr/202403262421-1.pdf?ts=1711526587,3512000000,SEK,1084,727,"1,360",,19667,,2087,19667,21754,3755,2153,432,4385,220,2724,2070,9,2041,,931,947,,,,,
Volvo AB,Q163810,https://www.volvogroup.com/content/dam/volvo-group/markets/master/events/2024/feb/annual-report-2023/AB-Volvo-Annual-Report-2023.pdf,552764000000,SEK,104000,"228,000","66,000",,266000000,,294000,266000000,266294000,,,,,,,,,,,266000000,,,,,,13000
Volvo Cars,Q215293,https://vp272.alertir.com/afw/files/press/volvocar/202403050374-1.pdf,399343000000,SEK,43400,"73,000","7,000","179,000",,43059000,80000,42979000,43059000,14588000,,,620000,9000,62000,47000,,540000,,26135000,472000,4000,502000,,,
Wallenstam,Q10719187,https://www.wallenstam.se/globalassets/dokument/wallenstam/hallbarhetsredovisning/sustainability-report-2023.pdf,3343000000,SEK,263,444,"3,888",,11560,,4332,11560,15892,10923,,573,,,15,,,,,,,49,,,,
Wihlborgs Fastigheter,Q10720019,https://www.wihlborgs.se/globalassets/investor-relations/rapporter/2024/20240327-wihlborgs-publishes-annual-and-sustainability-report-2023-ded27cf2-335e-492b-991e-ae0888c40b7e.pdf,3880692000,SEK,218,615,"2,296","11,032",22877,25787,2911,22877,25788,5027,12068,1916,,,35,,,,,,,3830,,,,
