companyName,wiki_id,url,Turnover,turnover_currency,no_employees,23_scope1,23_scope2MB,23_scope2LB,23_scope3,23_total,23_scope1_2Sum,23_scope3Sum,23_totalSum,23_scope3_1,23_scope3_2,23_scope3_3,23_scope3_4,23_scope3_5,23_scope3_6,23_scope3_7,23_scope3_8,23_scope3_9,23_scope3_10,23_scope3_11,23_scope3_12,23_scope3_13,23_scope3_14,23_scope3_15,23_scope3_16,23_biogenic
Betsson,Q2723182,https://www.betssonab.com/sites/default/files/pr/202404035951-1.pdf,948200000,eur,2103,224,"1,027",848,6083,,1251,6083,7334,,,,,,,,,,,,,,,,,
Better Collective,Q111843935,https://storage.mfn.se/28882872-33ec-4750-9726-fc91ed1fad94/sustainability-report-2023.pdf,,,1252,71,247,,2596.1,2914.9,318.8,2596.1,2914.9,8.3,,,,,2021,566.8,,,,,,,,,,
Bilia,,https://storage.mfn.se/79405e0e-77bf-477e-af17-3d83fdd1b911/bilia-arsredovisning-2023.pdf,38514000000,sek,5185,"5,865","3,150","4,176",833976,842990,9015,833976,842991,320430,,2571,6834,3173,275,5788,,,,485673,9233,,,,,
Billerud,Q862811,https://www.billerud.se/globalassets/billerud/investors/financial-reports/2023/billerud_ar2023_sve.pdf,41224000000,sek,,"778,627","88,671","389,370",3006061,3873359,867298,3006061,3873359,1127905,137179,131262,363813,2041,704,5522,,318878,657067,,261424,,,266,,5834000
BioArctic,Q106564093,https://www.bioarctic.se/en/wp-content/uploads/sites/2/2021/10/wkr0006-58.pdf,616000000,sek,80,6,7,,,,13.088,49.761,62.849,,,,,,0.436,49.325,,,,,,,,,,
Biotage,Q10429829,https://storage.mfn.se/371b0d79-86e0-4acd-b624-5723d9261980/cs3-5-eng-biotage-annual-report-2023.pdf,1862000000,sek,674,,,,,,,,,,,,,,,,,,,,,,,,,
Boliden,Q891345,https://investors.boliden.com/sites/boliden-ir/files/pr/202403050636-1.pdf,101957000000,sek,5664,"628,000","215,000",,,,842000,,842000,,,,,,,,,,,,,,,,,
Bravida Holding,Q10434929,https://investors.bravida.com/~/media/Files/B/Bravida-IR-V3/Annual%20Reports/bravida-annual-and-sustainability-report-2023.pdf,29423000000,sek,13833,"18,466","2,432",983,,,20898,541152,562050,313291,1105,4924,3414,178,4075,5606,73,,,181800,26686,,,,,
Bure Equity,Q4998333,https://storage.mfn.se/b63abbba-9e45-4417-8c42-53e61ff5b517/annual-report-2023.pdf,4814000000,sek,10,0,1,0,2089,,0.9,2089,2089.9,,,,,,,,,,,,,,,2026,63,
Camurus,Q5028809,https://www.camurus.com/files/Main/13456/3952728/camurus-arsredovisning-2023.pdf#page=50,1716900000,sek,213,159,17,12,385.6,,176.2,385.6,561.8,50.7,,46.3,,0.8,,,,287.7,,,,,,,,
Castellum,Q10443590,https://storage.mfn.se/03f8b3d5-e9d7-4de4-a363-27c6ba9b8d35/castellum-arsredovisning-2023.pdf,9806000000,sek,547,292,"10,260","29,675",75697,86250,10553,75697,86250,54265,,4101,6,236,540,269,,,,,,16280,,,,164
Catena,,https://www.catena.se/media/1efafb3o/hallbarhetsrapport-2023-sv-catena.pdf ,1808000000,sek,65,559,198,"3,053",23422,27034,607,23422,24029,,9738,,,,20,24,,,,,,13640,,,,
Coop i Sverige,,,,,11243,,,,,,12653,39032,51685,,,,,,,,,,,,,,,,,
Corem Property Group,Q106625550,https://mb.cision.com/Main/9683/3953689/2701094.pdf,,sek,309,473,"4,081","10,790",62722,67276,4554,62722,67276,25699,6905,1139,,,135,334,,,,,,28511,,,,
Creades,Q10461247,https://www.creades.se/media/qlmf5oux/creades_ar_2023_12mars_locked.pdf,9322000000,sek,7,,,,,,,,,,,,,,,,,,,,,,,,,
Diös Fastigheter,Q10474816,https://s26.q4cdn.com/531398092/files/doc_financials/2023/ar/dio%CC%88s_a%CC%8Arsredovisning-2023.pdf,2504000000,sek,164,495,"5,118","12,791",800,,5613,800,6413,,,746,,,55,,,,,,,,,,,
Dometic Group,Q5290243,https://www.dometicgroup.com/globalassets/4-dometicgroup/corporate-governance/2024/sustainability_eng_dometic23.pdf?ref=DAA8C5579A,27775000000,sek,?,"8,600","10,670","16,780",13630,,19270,13630,32900,,,,,,,,,13630,,,,,,,,
Electrolux,Q505922,https://www.electroluxgroup.com/wp-content/uploads/sites/2/2024/03/sustainability-report-2023.pdf,,,43959,"61,000","8,000",,,,69000,,69000,,,,,,,,,,,,,,,,,
Electrolux Professional,Q109974149,https://www.electroluxprofessionalgroup.com/en/wp-content/uploads/sites/2/2024/03/Electrolux-Professional-Group-Annual-and-Sustainability-Report-2023_print.pdf,,,,"2,000","2,200",,,,4250,,4250,,,,,,,,,,,,,,,,,
Elekta,Q830608,https://ir.elekta.com/files/mfn/55a85860-261b-494b-9197-5b90db7930d5/elekta-annual-report-2022-23-links.pdf#page=12,16869000000,sek,4587,"4,442","3,347","4,744",500240,508029,7789,500240,508029,261793,,2618,17485,42,14852,5159,,,,198291,198,,,,,
Embracer Group,Q65083539,https://embracer.com/wp-content/uploads/2023/06/Embracer-Group-publishes-Annual-Report-202223-230621.pdf,37665000000,sek,11956,"1,443","6,952","4,418",678707,687102,8395,678707,687102,,,,,,,,,,,,,,,,,
Epiroc,Q47498532,https://www.epirocgroup.com/content/dam/epiroc/corporate/documents/investors/annual-report/new-2024/Epiroc%20Annual%20and%20Sustainability%20Report%202023.pdf,60343000000,sek,18211,"10,000","17,000","32,000",,,28000,5753000,5781000,,,,114000,,,,,,,,,,,,,7000
EQT,Q1275733,https://cdn.sanity.io/files/30p7so6x/eqt-web-prod/1d1605be62ef28d3fee3100c57a597db09e126e1.pdf?dl=wkr0006.pdf,2084000000,eur,1727,36,397,,,24340,433,5925771,5926204,,,,,,23907,,,,,,,,,5901864,,
Ericsson,Q52618,https://www.ericsson.com/4933e6/assets/local/investors/documents/2023/sustainability-and-corporate-responsibility-report-2023-en.pdf,263351000000,sek,99952,"27,029","42,251","136,628",37182157,37251437,69280,37182157,37251437,1751600,37800,19700,164800,1000,52599,49000,,21158,,35057200,27300,,,,,
Essity,Q30938280,https://masdpstatic.azureedge.net/essity/Essity_AR_ENG_2023.pdf,147147000000,sek,8544,"1,240,000",,"1,005,000",,,2245000,,2245000,,,,,,,,,,,,,,,,,475
Evolution,Q105965579,https://www.evolution.com/wp-content/uploads/2024/04/Evolution_Annual_Report_2023.pdf,1799000000,eur,17763,0,,"5,037",2342,,5037,2342,7379,,,,83,,2253,,,,,,,,,,,
Fabege,Q1390136,https://mb.cision.com/Main/1568/3944244/2662694.pdf,443000000,sek,228,0,"1,771","3,451",13258,14970,1711,13258,14969,,11999,670,,67,10,98,5,,,,,409,,,,
Fastpartner,Q10494308,https://mb.cision.com/Main/878/3953792/2701384.pdf#page=113,,,84,301,846,"8,860",13507,,1147,13507,14654,,,,,,,,,,,,,,,,,
Fenix Outdoor Int.,Q10494668,https://www.fenixoutdoor.com/wp-content/uploads/2024/03/CSR_2023.pdf,0.175,SEK,2972,"1,139",714,"11,147",,97974,1853,96122,97975,53475,,471,4116,89,2597,1476,,129,,,33499,,,,,
Fortnox,Q60967616,https://mb.cision.com/Main/15293/3947623/2677237.pdf,1642000000,sek,665,0,27,,2419,2462,27,2419,2446,1618,245,17,119,,317,77,,,,,,,,,,597
Getinge,Q1337240,https://www.getinge.com/dam/corporate/documents/investors/annual-reports/english/getinge-annual-report-2023-en-global.pdf,31827000000,sek,11226,"3,895",614,,,,4509,,4509,,,,,,,,,,,,,,,,,
Green Cargo,Q1028092,https://www.greencargo.com/download/18.4ae4bf8818e5f8e8143d024/1711607772145/Green%20Cargo%20%C3%85rs-%20och%20h%C3%A5llbarhetsredovisning%202023.pdf,4168000000,sek,1799,"17,903",,"4,993",493,23454,22896,493,23389,,,,,,,,,493,,,,,,,,64
H&M,Q188326,https://hmgroup.com/wp-content/uploads/2024/03/Climate-Transition-Plan.pdf,236035000000,sek,,"16,354","38,451","16,354",8532000,,54805,8532000,8586805,6172000,,,448000,,,,,,,1659000,89000,,,,166000,
Handelsbanken,Q1421630,https://www.handelsbanken.com/tron/xgpu/info/contents/v1/document/76-169033,62249000000,sek,12216,154,"2,295","4,641",,9369,2449,845278,847727,,,,,,,,,,,,,,,838358,,
Hemnet Group,Q10521828,https://www.hemnetgroup.se/files/PDF/Annual-reports/2023/Hemnet_AB_AnnualReport_2023.pdf,1004700000,sek,154,0,0.31,,,1885.128,0.31,1884.818,1885.128,1802.301,17.803,1.235,0.073,0.018,14.642,47.873,,,,0.873,,,,,,
